customer_id;edad;genero;estado_civil;nivel_educativo;ingreso_mensual;tipo_empleo;dependientes;tipo_vivienda;meses_en_centrales;productos_financieros_activos;score_crediticio_bureau;dias_mora_actual;max_dias_mora_12m;cliente_existente;meses_como_cliente;compras_promedio_mensual;num_compras_6m;categoria_principal;canal_aplicacion;monto_solicitado;plazo_meses;default;antiguedad_laboral_años
CUST_000024;17;F;Null;Posgrado;3741675;Empleado;3;Propia;34;4;690;0;0;1;42;11712;3;Electrodomésticos;Tienda_Física;2511321;12;0;-1
CUST_000025;28;F;Casado;Null;3267396;Empleado;2;Arriendo;51;2;520;0;1;1;17;121876;3;Hogar;Tienda_Física;931309;12;1;4,7
CUST_000026;36;F;Divorciado;Universitario;2962610;Empleado;0;Propia;42;3;673;0;0;1;9;72048;5;Electrodomésticos;Tienda_Física;910907;36;0;16,1
CUST_000027;21;F;Casado;Universitario;3817895;Empleado;1;Propia;23;2;697;2;2;1;16;67064;1;Tecnología;Call_Center;2144861;18;0;2,5
CUST_000028;39;F;Divorciado;Técnico;5217640;Pensionado;2;Arriendo;26;1;723;0;0;0;0;0;0;N/A;Online;1262882;24;0;19,9
CUST_000029;27;M;Soltero;Primaria;3612330;Empleado;1;Propia;11;0;658;0;0;0;0;0;0;N/A;Online;1128390;24;0;0
CUST_000030;31;F;Divorciado;Técnico;8622230;Empleado;0;Arriendo;96;2;715;0;0;1;1;21933;3;Ropa;Tienda_Física;2386949;12;0;12,6
CUST_000031;27;F;Soltero;Secundaria;7888057;Empleado;1;Familiar;83;1;679;0;14;1;5;274469;2;Tecnología;Tienda_Física;1351365;12;0;8,5
CUST_000032;57;M;Viudo;Secundaria;7850676;Empleado;2;Arriendo;61;3;712;0;0;0;0;0;0;N/A;Call_Center;1661156;18;0;25,1
CUST_000033;34;F;Soltero;Universitario;2187459;Pensionado;0;Arriendo;5;2;708;0;0;1;10;58431;3;Electrodomésticos;Tienda_Física;2867740;12;0;9,6
CUST_000034;22;M;Casado;Técnico;6026852;Pensionado;1;Familiar;53;2;639;0;0;1;15;2065;2;Ropa;Call_Center;1972141;18;0;0,3
CUST_000035;44;F;Casado;Universitario;2470274;Independiente;2;Propia;94;4;630;0;0;1;12;104040;5;Electrodomésticos;Tienda_Física;1528715;18;0;25,5
CUST_000036;20;F;Null;Técnico;7941704;Empleado;0;Familiar;86;5;663;0;0;0;0;0;0;N/A;Tienda_Física;766330;48;0;1,2
CUST_000037;37;M;Casado;Secundaria;8497814;Independiente;2;Arriendo;84;0;641;0;0;1;9;25448;5;Deportes;App_Móvil;2944221;18;1;18,4
CUST_000038;16;F;Soltero;Técnico;8026265;Empleado;1;Propia;40;3;639;0;0;1;13;50743;1;Hogar;Tienda_Física;2713459;6;0;-2
CUST_000039;19;M;Soltero;Null;3999146;Empleado;1;Propia;10;4;461;0;18;1;14;179310;8;Hogar;Call_Center;2211826;36;0;0
CUST_000040;37;F;Casado;Universitario;3856863;Empleado;1;Arriendo;31;4;748;0;0;1;3;33947;3;Ropa;Tienda_Física;2748894;12;0;18,9
CUST_000041;43;M;Soltero;Secundaria;9835724;Empleado;4;Familiar;12;2;667;5;5;1;16;8323;3;Tecnología;Online;2474315;24;0;24
CUST_000042;37;M;Casado;Técnico;3331558;Independiente;1;Propia;58;4;739;0;0;1;3;5436;2;Hogar;Online;1733848;36;0;13,1
CUST_000043;33;M;Soltero;Posgrado;1724370;Pensionado;1;Arriendo;6;1;555;0;0;1;8;14484;12;Hogar;Online;2477648;48;0;10,2
CUST_000044;31;M;Casado;Secundaria;4226177;Independiente;0;Propia;8;1;659;0;0;1;8;688996;3;Deportes;Tienda_Física;1492436;12;0;9,9
CUST_000045;17;F;Null;Secundaria;3651747;Empleado;1;Propia;11;0;603;0;0;0;0;0;0;N/A;Online;601256;48;0;-1
CUST_000046;26;F;Divorciado;Secundaria;8210594;Empleado;0;Propia;32;3;659;15;15;0;0;0;0;N/A;Tienda_Física;965558;18;0;1,6
CUST_000047;29;M;Soltero;Técnico;9350790;Pensionado;1;Familiar;31;3;698;2;15;0;0;0;0;N/A;App_Móvil;2760459;36;0;8,7
CUST_000048;47;M;Soltero;Técnico;9111385;Empleado;0;Propia;28;4;715;0;0;1;51;170497;5;Hogar;Online;893266;18;0;27
CUST_000049;39;M;Casado;Primaria;5017673;Empleado;2;Arriendo;5;2;569;1;4;1;11;16853;3;Hogar;Tienda_Física;2418460;18;0;12,8
CUST_000050;16;F;Soltero;Universitario;1150616;Empleado;2;Propia;22;4;624;3;3;1;0;38735;4;Hogar;Call_Center;2210360;12;0;-2
CUST_000051;38;F;Soltero;Primaria;3645708;Empleado;0;Arriendo;94;2;691;0;0;0;0;0;0;N/A;Tienda_Física;2379037;12;0;17,6
CUST_000052;30;M;Soltero;Técnico;3699708;Independiente;1;Arriendo;100;4;426;0;3;1;14;98504;5;Ropa;Tienda_Física;1168328;36;1;7,3
CUST_000053;26;F;Casado;Técnico;7146950;Empleado;0;Propia;23;0;712;0;0;1;27;19078;7;Tecnología;Call_Center;1243500;6;0;7,8
CUST_000054;42;M;Casado;Técnico;4056330;Empleado;2;Propia;10;3;645;0;18;1;12;40734;2;Ropa;Call_Center;993299;6;1;22,7
CUST_000055;47;F;Casado;Primaria;4055001;Empleado;0;Propia;176;2;680;0;0;0;0;0;0;N/A;Online;2377939;12;0;17,6
CUST_000056;46;F;Casado;Universitario;2591237;Empleado;0;Propia;8;2;649;0;0;1;20;5152;2;Ropa;App_Móvil;1043409;48;0;27,3
CUST_000057;24;F;Casado;Técnico;4835861;Empleado;1;Propia;66;4;538;0;0;1;7;47871;3;Deportes;App_Móvil;1650698;6;0;3,7
CUST_000058;31;F;Casado;Técnico;8848759;Empleado;2;Null;12;1;630;3;3;0;0;0;0;N/A;Tienda_Física;604475;18;0;8,9
CUST_000059;38;F;Casado;Técnico;4537515;Pensionado;1;Familiar;86;4;694;0;3;1;7;97510;2;Deportes;Tienda_Física;2719464;12;0;18,5
CUST_000060;46;F;Soltero;Técnico;4804108;Independiente;1;Arriendo;4;3;636;0;0;1;66;22310;4;Tecnología;Tienda_Física;1094056;12;1;26,4
CUST_000061;29;F;Soltero;Primaria;2832981;Empleado;0;Propia;13;0;810;0;0;1;9;39061;3;Tecnología;Tienda_Física;915710;12;0;10,8
CUST_000062;32;M;Soltero;Secundaria;6761705;Independiente;2;Propia;37;1;611;0;0;0;0;0;0;N/A;Online;765766;48;0;13,4
CUST_000063;21;M;Soltero;Secundaria;3013892;Independiente;2;Arriendo;3;3;654;0;0;1;38;200770;1;Hogar;App_Móvil;2110242;24;0;0
CUST_000064;20;M;Soltero;Universitario;3891904;Empleado;1;Propia;17;2;547;0;0;1;11;50761;9;Tecnología;Tienda_Física;639185;12;1;0
CUST_000065;44;F;Casado;Técnico;5756143;Empleado;0;Arriendo;18;4;566;0;5;0;0;0;0;N/A;App_Móvil;1085764;12;0;24,9
CUST_000066;51;M;Casado;Universitario;3510718;Independiente;2;Arriendo;25;1;780;1;1;1;3;129252;4;Deportes;Tienda_Física;2390786;24;0;31,6
CUST_000067;34;M;Casado;Universitario;3003411;Independiente;3;Familiar;0;4;604;0;0;1;11;138308;2;Ropa;Tienda_Física;2166477;12;0;14,3
CUST_000068;47;M;Soltero;Universitario;1622509;Empleado;2;Propia;37;5;673;0;0;1;15;5109;8;Electrodomésticos;Online;665734;18;0;27,7
CUST_000069;39;M;Casado;Técnico;8143727;Independiente;1;Propia;18;2;672;0;32;1;11;143903;3;Electrodomésticos;Tienda_Física;2395185;6;0;17,8
CUST_000070;27;F;Soltero;Secundaria;3796903;Empleado;1;Arriendo;9;2;735;0;3;1;7;47215;4;Electrodomésticos;App_Móvil;2497009;36;0;9
CUST_000071;39;F;Soltero;Universitario;1932473;Independiente;2;Familiar;8;3;630;0;25;1;2;26244;2;Electrodomésticos;App_Móvil;2273557;12;0;14,6
CUST_000072;53;F;Divorciado;Secundaria;7285778;Independiente;2;Familiar;53;1;599;0;2;0;0;0;0;N/A;Tienda_Física;707870;36;0;33,9
CUST_000073;34;F;Casado;Técnico;4879884;Independiente;4;Propia;12;2;591;0;0;1;26;19479;4;Hogar;App_Móvil;2273230;12;1;9,8
CUST_000074;53;F;Soltero;Secundaria;6849554;Empleado;1;Arriendo;40;2;664;0;0;1;9;121573;4;Ropa;Tienda_Física;875337;18;0;33,2
CUST_000075;16;F;Soltero;Posgrado;2772943;Pensionado;0;Arriendo;0;0;698;0;0;0;0;0;0;N/A;Online;1925426;48;0;-2
CUST_000076;44;M;Casado;Técnico;6253083;Empleado;1;Arriendo;126;3;623;0;23;1;14;2000000;0;Tecnología;Tienda_Física;2136160;18;0;20,8
CUST_000077;36;F;Casado;Secundaria;7803783;Independiente;2;Propia;3;3;559;0;0;1;6;465734;2;Ropa;Tienda_Física;2714353;6;1;16,9
CUST_000078;31;M;Casado;Universitario;3311056;Empleado;2;Propia;18;2;724;0;3;0;0;0;0;N/A;Tienda_Física;2236115;18;0;9,9
CUST_000079;36;M;Divorciado;Secundaria;8520080;Empleado;0;Propia;39;1;732;4;4;1;0;268696;3;Deportes;Online;1582479;6;0;15,2
CUST_000080;16;F;Soltero;Posgrado;1028239;Empleado;0;Propia;35;4;786;2;2;0;0;0;0;N/A;Online;2448370;36;0;-2
CUST_000081;32;M;Soltero;Secundaria;7659472;Empleado;1;Propia;80;0;685;0;0;1;23;13326;5;Ropa;Tienda_Física;1062477;18;0;12,1
CUST_000082;39;M;Casado;Universitario;1838555;Empleado;0;Arriendo;125;1;724;0;0;1;25;12443;3;Deportes;Online;2663857;24;0;19,9
CUST_000083;52;M;Casado;Secundaria;5382897;Empleado;1;Arriendo;45;0;682;0;0;1;9;237358;5;Electrodomésticos;Online;1535686;18;0;32,9
CUST_000084;28;M;Divorciado;Universitario;2145056;Empleado;1;Familiar;36;3;494;0;0;0;0;0;0;N/A;Tienda_Física;2387348;12;1;7,6
CUST_000085;25;M;Casado;Universitario;2983278;Empleado;2;Arriendo;3;2;729;0;0;1;4;116546;6;Ropa;Online;1103139;12;0;6,9
CUST_000086;28;M;Casado;Universitario;1580290;Empleado;0;Arriendo;20;3;731;0;0;0;0;0;0;N/A;Call_Center;1765673;36;0;1,9
CUST_000087;45;F;Null;Universitario;3227764;Empleado;5;Propia;7;4;663;0;1;1;0;75592;6;Tecnología;Online;617237;18;0;23,9
CUST_000088;38;F;Casado;Secundaria;7799736;Empleado;4;Arriendo;17;2;672;0;0;1;68;21658;5;Ropa;Online;1728664;18;0;18,2
CUST_000089;28;M;Casado;Posgrado;1255942;Independiente;1;Familiar;5;3;645;0;0;0;0;0;0;N/A;Online;2866783;6;1;9,8
CUST_000090;41;F;Null;Universitario;2563128;Empleado;2;Arriendo;55;1;834;0;0;0;0;0;0;N/A;Tienda_Física;510185;18;0;20
CUST_000091;36;M;Soltero;Universitario;2245771;Empleado;2;Arriendo;25;4;520;0;19;0;0;0;0;N/A;Call_Center;1996481;24;0;17,9
CUST_000092;46;M;Casado;Universitario;3892586;Empleado;0;Arriendo;4;2;598;2;2;1;4;62330;4;Hogar;Online;2608702;18;0;24,6
CUST_000093;26;M;Casado;Secundaria;6910360;Empleado;2;Arriendo;26;2;652;0;0;0;0;0;0;N/A;Tienda_Física;993058;6;0;7,8
CUST_000094;31;F;Divorciado;Técnico;5099829;Empleado;0;Arriendo;14;3;745;0;0;1;3;53412;3;Hogar;Tienda_Física;2696215;6;1;9,8
CUST_000095;30;M;Casado;Primaria;9913884;Empleado;3;Propia;25;1;669;1;1;0;0;0;0;N/A;Online;2655149;12;1;10,4
CUST_000096;17;F;Casado;Universitario;1723833;Empleado;4;Arriendo;10;1;580;0;9;1;13;27657;2;Hogar;Online;1312817;6;0;-1
CUST_000097;38;F;Viudo;Técnico;8329538;Empleado;1;Propia;50;3;582;0;0;1;27;73620;2;Electrodomésticos;Call_Center;1852449;6;0;19,6
CUST_000098;38;F;Casado;Secundaria;6529938;Empleado;1;Propia;0;2;635;1;1;1;9;42938;3;Ropa;Tienda_Física;2038264;18;0;19,6
CUST_000099;35;F;Soltero;Null;2268191;Empleado;1;Familiar;5;1;591;9;9;1;2;273243;1;Deportes;Tienda_Física;1858388;12;1;16,1
CUST_000100;32;F;Soltero;Posgrado;3789134;Empleado;1;Arriendo;30;3;832;0;0;0;0;0;0;N/A;Tienda_Física;944277;12;0;12,4
CUST_000101;18;M;Soltero;Universitario;1967043;Empleado;3;Arriendo;37;1;683;0;0;0;0;0;0;N/A;Tienda_Física;2571212;24;0;0
CUST_000102;29;M;Casado;Universitario;1285889;Independiente;0;Arriendo;1;1;578;0;1;0;0;0;0;N/A;Tienda_Física;1827502;12;0;10,7
CUST_000103;30;F;Casado;Universitario;3141315;Empleado;2;Propia;39;3;814;0;0;0;0;0;0;N/A;Tienda_Física;1002356;24;0;10,8
CUST_000104;25;F;Casado;Universitario;3136481;Independiente;0;Arriendo;8;1;558;0;0;1;5;24108;3;Hogar;Tienda_Física;2191746;18;0;3,3
CUST_000105;33;M;Divorciado;Secundaria;6613584;Pensionado;0;Propia;5;2;626;0;0;1;23;31044;2;Ropa;Online;2162204;36;0;12,4
CUST_000106;39;M;Casado;Posgrado;3659996;Independiente;0;Familiar;0;6;584;0;0;0;0;0;0;N/A;Call_Center;999069;36;1;11,1
CUST_000107;57;M;Divorciado;Universitario;3758716;Empleado;2;Arriendo;24;0;608;0;0;0;0;0;0;N/A;Tienda_Física;1305105;12;0;37,3
CUST_000108;37;M;Divorciado;Universitario;2755919;Empleado;0;Propia;50;6;691;0;0;1;0;7399;3;Ropa;Tienda_Física;2883158;18;0;17,8
CUST_000109;38;M;Casado;Posgrado;1519406;Empleado;3;Arriendo;32;1;740;0;0;0;0;0;0;N/A;Online;1714566;24;0;16,5
CUST_000110;34;F;Casado;Técnico;7182918;Independiente;2;Propia;72;2;728;0;0;1;5;33070;3;Electrodomésticos;Online;2655577;18;0;14,4
CUST_000111;16;F;Casado;Técnico;9335533;Empleado;1;Arriendo;27;2;585;0;0;1;17;47862;2;Deportes;Call_Center;2578008;12;0;-2
CUST_000112;34;F;Casado;Null;2941548;Empleado;1;Arriendo;0;2;718;0;1;1;11;125177;4;Ropa;Tienda_Física;1443874;12;0;7,2
CUST_000113;35;F;Casado;Técnico;3972546;Empleado;3;Arriendo;69;2;713;1;6;0;0;0;0;N/A;Online;2310726;24;0;14,9
CUST_000114;64;F;Soltero;Universitario;1464363;Empleado;2;Familiar;90;2;497;0;0;1;47;25439;6;Hogar;Online;1147249;12;1;43,9
CUST_000115;32;M;Soltero;Técnico;9421431;Independiente;3;Propia;74;4;736;0;1;1;12;11613;5;Ropa;Online;960489;18;0;9,5
CUST_000116;38;M;Soltero;Universitario;3679845;Empleado;3;Propia;7;4;727;0;4;1;0;9120;5;Electrodomésticos;Tienda_Física;1769863;12;0;15,8
CUST_000117;34;F;Soltero;Universitario;1727634;Empleado;0;Arriendo;167;2;701;0;0;1;21;70893;6;Electrodomésticos;Online;1482687;24;0;13,8
CUST_000118;20;F;Soltero;Universitario;1919363;Empleado;1;Arriendo;117;2;735;0;4;1;18;33703;5;Tecnología;Tienda_Física;1760288;12;0;1,8
CUST_000119;48;M;Casado;Técnico;3787018;Empleado;1;Familiar;69;1;826;0;0;1;115;154252;3;Tecnología;Tienda_Física;2990288;18;0;18,1
CUST_000120;44;O;Null;Secundaria;4907507;Empleado;3;Arriendo;31;2;445;0;0;0;0;0;0;N/A;Tienda_Física;2962325;12;1;24,6
CUST_000121;44;M;Casado;Universitario;1861425;Empleado;1;Arriendo;7;5;682;0;25;1;25;13661;2;Electrodomésticos;Tienda_Física;1476142;18;0;24,9
CUST_000122;24;M;Null;Posgrado;3398436;Independiente;2;Arriendo;7;2;561;1;3;1;5;6925;7;Electrodomésticos;Online;2814585;12;1;0
CUST_000123;51;M;Casado;Primaria;8861378;Independiente;2;Propia;26;1;731;0;0;1;12;38973;2;Electrodomésticos;App_Móvil;1977281;24;0;26,8
CUST_000124;18;M;Casado;Secundaria;7488073;Empleado;1;Propia;80;0;650;0;7;1;18;237129;3;Hogar;Online;2935355;24;0;0
CUST_000125;42;F;Casado;Secundaria;4471067;Independiente;0;Propia;17;1;680;0;0;1;11;111066;8;Deportes;Tienda_Física;1016039;12;0;22,9
CUST_000126;61;F;Casado;Posgrado;3557665;Empleado;0;Arriendo;24;3;536;0;0;0;0;0;0;N/A;App_Móvil;2832529;24;0;39,2
CUST_000127;23;M;Casado;Universitario;1923932;Empleado;1;Familiar;19;2;729;0;1;1;2;88532;5;Tecnología;Tienda_Física;1458875;12;0;3,8
CUST_000128;28;F;Divorciado;Null;3108867;Empleado;2;Arriendo;48;0;552;3;6;1;3;8390;4;Hogar;Tienda_Física;2295385;12;0;9,1
CUST_000129;36;F;Casado;Técnico;6522483;Empleado;2;Arriendo;3;3;593;0;0;0;0;0;0;N/A;Online;1418440;12;0;6,3
CUST_000130;28;F;Soltero;Técnico;3756124;Empleado;1;Propia;45;4;748;0;0;1;17;30526;0;Tecnología;Tienda_Física;2171691;12;0;7,5
CUST_000131;16;F;Casado;Universitario;1188961;Empleado;1;Propia;55;6;720;0;0;1;2;202388;8;Hogar;Online;1654124;12;0;-2
CUST_000132;35;M;Casado;Secundaria;6900051;Empleado;1;Familiar;45;2;627;0;2;0;0;0;0;N/A;Call_Center;1827597;36;0;13,3
CUST_000133;22;F;Soltero;Técnico;3171087;Empleado;0;Propia;40;4;533;0;0;1;100;49429;2;Hogar;Tienda_Física;1412749;24;0;0
CUST_000134;40;M;Divorciado;Técnico;6436254;Empleado;0;Familiar;17;3;636;0;0;1;1;36105;7;Tecnología;Call_Center;784354;18;0;15
CUST_000135;23;F;Soltero;Secundaria;7953566;Empleado;0;Propia;23;3;608;0;17;1;17;125342;4;Tecnología;Tienda_Física;1895798;18;1;2,9
CUST_000136;53;M;Casado;Técnico;6241664;Empleado;2;Arriendo;8;5;577;0;5;0;0;0;0;N/A;App_Móvil;2932627;6;0;30,8
CUST_000137;25;F;Divorciado;Primaria;8711980;Empleado;0;Familiar;42;1;579;5;5;1;63;268056;4;Deportes;Online;962621;24;0;2,2
CUST_000138;31;F;Casado;Secundaria;4493722;Pensionado;3;Arriendo;8;1;588;0;6;1;7;105374;7;Deportes;Online;553618;18;0;4,2
CUST_000139;44;M;Casado;Secundaria;5454374;Independiente;1;Propia;29;1;630;0;0;0;0;0;0;N/A;Online;2289733;6;1;22,3
CUST_000140;20;M;Soltero;Universitario;1898090;Empleado;1;Propia;49;3;819;0;0;1;7;151109;5;Deportes;App_Móvil;625877;18;0;0
CUST_000141;37;F;Casado;Secundaria;6539468;Empleado;2;Propia;7;5;530;0;0;0;0;0;0;N/A;App_Móvil;738003;36;0;18,7
CUST_000142;50;F;Casado;Secundaria;6108135;Empleado;0;Propia;11;0;711;14;24;1;11;264494;1;Deportes;Online;2133464;12;0;31,6
CUST_000143;16;M;Soltero;Primaria;4556615;Independiente;3;Arriendo;20;2;738;0;0;1;2;55653;3;Hogar;Call_Center;1139384;6;0;-2
CUST_000144;37;F;Soltero;Técnico;8618425;Empleado;1;Arriendo;37;0;467;0;11;1;7;4643;6;Deportes;Call_Center;1627967;18;0;18,5
CUST_000145;38;M;Soltero;Técnico;6658052;Empleado;2;Arriendo;14;3;584;0;13;1;7;30561;3;Tecnología;Tienda_Física;1638449;6;0;19,7
CUST_000146;44;M;Casado;Universitario;3601297;Independiente;3;Propia;7;1;626;1;14;1;66;106161;3;Hogar;Online;2515034;24;0;25,6
CUST_000147;20;M;Soltero;Universitario;3521848;Empleado;0;Familiar;6;2;646;0;8;1;29;29298;6;Ropa;Online;685453;18;0;0
CUST_000148;19;M;Soltero;Secundaria;9982866;Empleado;2;Arriendo;10;4;498;0;0;1;11;51445;8;Hogar;Tienda_Física;2349698;12;0;0
CUST_000149;41;F;Casado;Secundaria;3219655;Independiente;0;Propia;18;3;633;0;0;1;69;7637;4;Hogar;App_Móvil;1152604;48;0;21
CUST_000150;38;F;Soltero;Secundaria;5129698;Independiente;2;Propia;3;2;653;0;0;1;13;1736689;5;Electrodomésticos;App_Móvil;3445615;36;0;14,8
CUST_000151;38;M;Casado;Null;3866330;Empleado;0;Arriendo;109;1;555;0;0;1;8;130363;7;Ropa;Tienda_Física;1047326;12;0;19,6
CUST_000152;39;F;Divorciado;Universitario;2441427;Independiente;3;Propia;240;0;685;0;0;1;0;218665;1;Deportes;Online;2228646;18;0;19,9
CUST_000153;26;M;Soltero;Primaria;6842029;Empleado;3;Propia;73;1;591;0;0;1;24;477143;6;Tecnología;Tienda_Física;1018599;24;0;7,5
CUST_000154;37;F;Casado;Secundaria;8121754;Empleado;2;Propia;63;0;658;0;0;1;34;2995;3;Electrodomésticos;Call_Center;1293625;18;0;18,8
CUST_000155;38;M;Casado;Técnico;9034812;Empleado;1;Arriendo;20;4;584;0;0;0;0;0;0;N/A;Online;535313;12;0;10,3
CUST_000156;26;F;Casado;Secundaria;4892899;Empleado;0;Propia;14;3;618;0;16;1;77;40770;5;Hogar;Online;2376524;24;0;2,1
CUST_000157;57;F;Soltero;Universitario;1177435;Empleado;0;Propia;20;2;633;16;16;1;20;48726;4;Electrodomésticos;Online;2984457;24;1;32,7
CUST_000158;40;M;Viudo;Técnico;9828959;Empleado;1;Propia;0;9;753;0;17;1;19;37039;2;Hogar;Online;761088;18;0;15,9
CUST_000159;20;F;Soltero;Técnico;3378510;Independiente;2;Propia;6;1;788;0;0;0;0;0;0;N/A;Tienda_Física;2674383;18;0;1,5
CUST_000160;42;M;Divorciado;Técnico;8290762;Empleado;2;Propia;28;4;816;0;0;1;1;40899;2;Ropa;Online;1871420;18;0;19,4
CUST_000161;23;M;Soltero;Secundaria;8856806;Empleado;2;Arriendo;94;3;489;0;3;0;0;0;0;N/A;App_Móvil;1886001;12;0;1,1
CUST_000162;44;M;Casado;Técnico;4567667;Empleado;3;Propia;94;2;725;0;12;1;19;35241;5;Ropa;Online;1881135;12;0;18,2
CUST_000163;48;M;Casado;Universitario;2066831;Empleado;3;Propia;45;3;642;0;0;1;4;31337;2;Electrodomésticos;App_Móvil;931061;12;0;29,3
CUST_000164;25;M;Soltero;Técnico;6782157;Empleado;3;Propia;23;4;564;0;0;1;50;6732;3;Deportes;Call_Center;646406;6;0;5,4
CUST_000165;46;M;Casado;Técnico;8528214;Empleado;1;Propia;11;4;736;0;23;1;0;125506;5;Electrodomésticos;Tienda_Física;2210576;18;0;27
CUST_000166;39;M;Casado;Universitario;1135040;Empleado;0;Arriendo;19;4;653;0;0;0;0;0;0;N/A;App_Móvil;2299899;48;0;20,1
CUST_000167;44;M;Soltero;Secundaria;4711573;Empleado;1;Arriendo;151;5;748;0;0;1;5;15582;5;Hogar;Tienda_Física;1302824;36;0;22,8
CUST_000168;57;F;Casado;Técnico;6960656;Independiente;0;Arriendo;70;4;756;0;0;1;16;245911;2;Deportes;Tienda_Física;2409367;18;0;38,5
CUST_000169;32;F;Soltero;Secundaria;7673898;Independiente;2;Familiar;23;5;703;0;0;1;46;4632;3;Electrodomésticos;Online;2670723;12;0;12,1
CUST_000170;25;M;Soltero;Universitario;3692047;Empleado;3;Propia;69;3;663;0;0;1;6;691343;4;Hogar;Tienda_Física;3053106;12;0;3,9
CUST_000171;24;M;Soltero;Primaria;3546998;Empleado;0;Propia;49;1;614;0;0;1;8;26912;0;Tecnología;Tienda_Física;1401539;18;0;5,6
CUST_000172;25;M;Soltero;Universitario;1156323;Empleado;2;Arriendo;18;3;672;0;0;1;40;198063;4;Electrodomésticos;Call_Center;2157274;18;0;6,1
CUST_000173;34;F;Null;Secundaria;4546781;Empleado;2;Propia;24;2;766;9;9;1;36;123698;5;Electrodomésticos;Call_Center;2275163;18;0;5,7
